equip,equip_f,cpip,inv_dc,date
101.982,89.871681,,,2015q1
101.786,91.975754,,,2015q2
103.189,94.079826,,,2015q3
98.360001,96.183899,,,2015q4
101.444,98.287964,,,2016q1
100.175,100.39204,,,2016q2
97.466003,102.49611,,,2016q3
98.765999,104.60018,,,2016q4
99.800003,106.70425,,,2017q1
104.172,108.80832,,,2017q2
109.819,110.91239,,,2017q3
109.321,113.01646,,,2017q4
118.369,115.12054,,,2018q1
122.349,117.2246,,,2018q2
122.066,119.32867,,,2018q3
118.991,121.43275,,,2018q4
118.754,123.53682,,,2019q1
123.257,125.64088,,,2019q2
115.679,127.74496,,,2019q3
117.92,129.84903,,,2019q4
114.983,131.95309,9.5240002,-7.4460926,2020q1
125.118,134.05717,8.8629999,-.076178551,2020q2
129.75101,136.16124,9.2840004,2.8737679,2020q3
136.31799,138.26532,9.2519999,7.3046732,2020q4
143.705,140.36938,9.559,12.894617,2021q1
143.41701,142.47345,9.3540001,10.297558,2021q2
147.15199,144.57753,10.317,12.891463,2021q3
154.37199,146.68159,10.559,18.249399,2021q4
162.608,148.78566,11.012,24.834343,2022q1
159.521,150.88974,12.19,20.821255,2022q2
163.69501,152.9938,13.433,24.134201,2022q3
155.20799,155.09789,13.696,13.806108,2022q4
148.08501,157.20195,17.298,8.181057,2023q1
147.45599,159.30602,18.316,6.4659786,2023q2
145.642,161.4101,20.33,4.561903,2023q3
155.071,163.51416,24.035999,15.592838,2023q4
165.506,165.61824,26.386,26.273756,2024q1
175.57899,167.72231,29.931999,37.788689,2024q2
187.72,169.82637,32.646,50.539631,2024q3
186.118,171.93045,35.601002,49.788548,2024q4
222.838,174.03452,36.713001,85.516479,2025q1
253.78799,176.13858,40.387001,118.03642,2025q2
280.93399,178.24266,41.757999,144.44933,2025q3
